давление 1E+5 Па.,   время 0 c.
давление 4,349E+0 Па.,   время 488 c.
давление 4,257E+0 Па.,   время 489 c.
давление 4,167E+0 Па.,   время 490 c.
давление 4,08E+0 Па.,   время 491 c.
давление 3,996E+0 Па.,   время 492 c.
давление 3,915E+0 Па.,   время 493 c.
давление 3,837E+0 Па.,   время 494 c.
давление 3,76E+0 Па.,   время 495 c.
давление 3,686E+0 Па.,   время 496 c.
давление 3,615E+0 Па.,   время 497 c.
давление 3,545E+0 Па.,   время 498 c.
давление 3,478E+0 Па.,   время 499 c.
давление 3,412E+0 Па.,   время 500 c.
давление 3,348E+0 Па.,   время 501 c.
давление 3,286E+0 Па.,   время 502 c.
давление 3,226E+0 Па.,   время 503 c.
давление 3,168E+0 Па.,   время 504 c.
давление 3,111E+0 Па.,   время 505 c.
давление 3,056E+0 Па.,   время 506 c.
давление 3,002E+0 Па.,   время 507 c.
давление 2,949E+0 Па.,   время 508 c.
давление 2,898E+0 Па.,   время 509 c.
давление 2,848E+0 Па.,   время 510 c.
давление 2,8E+0 Па.,   время 511 c.
давление 2,753E+0 Па.,   время 512 c.
давление 2,707E+0 Па.,   время 513 c.
давление 2,662E+0 Па.,   время 514 c.
давление 2,618E+0 Па.,   время 515 c.
давление 2,575E+0 Па.,   время 516 c.
давление 2,533E+0 Па.,   время 517 c.
давление 2,493E+0 Па.,   время 518 c.
давление 2,453E+0 Па.,   время 519 c.
давление 2,414E+0 Па.,   время 520 c.
давление 2,376E+0 Па.,   время 521 c.
давление 2,339E+0 Па.,   время 522 c.
давление 2,303E+0 Па.,   время 523 c.
давление 2,267E+0 Па.,   время 524 c.
давление 2,233E+0 Па.,   время 525 c.
давление 2,199E+0 Па.,   время 526 c.
давление 2,166E+0 Па.,   время 527 c.
давление 2,133E+0 Па.,   время 528 c.
давление 2,102E+0 Па.,   время 529 c.
давление 2,071E+0 Па.,   время 530 c.
давление 2,04E+0 Па.,   время 531 c.
давление 2,01E+0 Па.,   время 532 c.
давление 1,981E+0 Па.,   время 533 c.
давление 1,953E+0 Па.,   время 534 c.
давление 1,925E+0 Па.,   время 535 c.
давление 1,898E+0 Па.,   время 536 c.
давление 1,871E+0 Па.,   время 537 c.
давление 1,844E+0 Па.,   время 538 c.
давление 1,819E+0 Па.,   время 539 c.
давление 1,793E+0 Па.,   время 540 c.
давление 1,769E+0 Па.,   время 541 c.
давление 1,744E+0 Па.,   время 542 c.
давление 1,72E+0 Па.,   время 543 c.
давление 1,697E+0 Па.,   время 544 c.
давление 1,674E+0 Па.,   время 545 c.
давление 1,652E+0 Па.,   время 546 c.
давление 1,63E+0 Па.,   время 547 c.
давление 1,608E+0 Па.,   время 548 c.
давление 1,587E+0 Па.,   время 549 c.
давление 1,566E+0 Па.,   время 550 c.
давление 1,545E+0 Па.,   время 551 c.
давление 1,525E+0 Па.,   время 552 c.
давление 1,505E+0 Па.,   время 553 c.
давление 1,486E+0 Па.,   время 554 c.
давление 1,467E+0 Па.,   время 555 c.
давление 1,448E+0 Па.,   время 556 c.
давление 1,429E+0 Па.,   время 557 c.
давление 1,411E+0 Па.,   время 558 c.
давление 1,394E+0 Па.,   время 559 c.
давление 1,376E+0 Па.,   время 560 c.
давление 1,359E+0 Па.,   время 561 c.
давление 1,342E+0 Па.,   время 562 c.
давление 1,325E+0 Па.,   время 563 c.
давление 1,309E+0 Па.,   время 564 c.
давление 1,293E+0 Па.,   время 565 c.
давление 1,277E+0 Па.,   время 566 c.
давление 1,261E+0 Па.,   время 567 c.
давление 1,246E+0 Па.,   время 568 c.
давление 1,231E+0 Па.,   время 569 c.
давление 1,216E+0 Па.,   время 570 c.
давление 1,202E+0 Па.,   время 571 c.
давление 1,187E+0 Па.,   время 572 c.
давление 1,173E+0 Па.,   время 573 c.
давление 1,159E+0 Па.,   время 574 c.
давление 1,146E+0 Па.,   время 575 c.
давление 1,132E+0 Па.,   время 576 c.
давление 1,119E+0 Па.,   время 577 c.
давление 1,106E+0 Па.,   время 578 c.
давление 1,093E+0 Па.,   время 579 c.
давление 1,08E+0 Па.,   время 580 c.
давление 1,068E+0 Па.,   время 581 c.
давление 1,055E+0 Па.,   время 582 c.
давление 1,043E+0 Па.,   время 583 c.
давление 1,031E+0 Па.,   время 584 c.
давление 1,02E+0 Па.,   время 585 c.
давление 1,008E+0 Па.,   время 586 c.
давление 9,966E-1 Па.,   время 587 c.
давление 9,854E-1 Па.,   время 588 c.
давление 9,743E-1 Па.,   время 589 c.
давление 9,634E-1 Па.,   время 590 c.
давление 9,526E-1 Па.,   время 591 c.
давление 9,42E-1 Па.,   время 592 c.
давление 9,315E-1 Па.,   время 593 c.
давление 9,212E-1 Па.,   время 594 c.
давление 9,11E-1 Па.,   время 595 c.
давление 9,01E-1 Па.,   время 596 c.
давление 8,911E-1 Па.,   время 597 c.
давление 8,813E-1 Па.,   время 598 c.
давление 8,717E-1 Па.,   время 599 c.
